fecha,tren,categoria,tipo_servicio,detalle,servicio_comercial,sentido,cod_origen,estacion_origen,cod_destino,estacion_destino,num_paradas,paradas
2026-06-23,14541,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61304,Torre-Pacheco,61200,Murcia del Carmen,3,Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14542,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61307,Cartagena,4,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco > Cartagena
2026-06-23,14542,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61304,Torre-Pacheco,3,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco
2026-06-23,14542,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61304,Torre-Pacheco,61307,Cartagena,2,Torre-Pacheco > Cartagena
2026-06-23,14544,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61307,Cartagena,4,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco > Cartagena
2026-06-23,14544,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61304,Torre-Pacheco,3,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco
2026-06-23,14544,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61304,Torre-Pacheco,61307,Cartagena,2,Torre-Pacheco > Cartagena
2026-06-23,14545,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61200,Murcia del Carmen,4,Cartagena > Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14545,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61304,Torre-Pacheco,2,Cartagena > Torre-Pacheco
2026-06-23,14545,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61304,Torre-Pacheco,61200,Murcia del Carmen,3,Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14546,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61307,Cartagena,4,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco > Cartagena
2026-06-23,14546,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61304,Torre-Pacheco,3,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco
2026-06-23,14546,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61304,Torre-Pacheco,61307,Cartagena,2,Torre-Pacheco > Cartagena
2026-06-23,14547,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61200,Murcia del Carmen,4,Cartagena > Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14547,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61304,Torre-Pacheco,2,Cartagena > Torre-Pacheco
2026-06-23,14547,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61304,Torre-Pacheco,61200,Murcia del Carmen,3,Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,15000,MD,Media Distancia,Área Nordeste,REG.EXP.,Par (↓ Sur/Destino),71400,Reus,79400,Barcelona Estació de França,10,Reus > Vila-seca > Tarragona > Altafulla-Tamarit > Torredembarra > Sant Vicenç de Calders > Vilanova i la Geltrú > Barcelona-Sants > Barcelona-Passeig de Gràcia > Barcelona Estació de França
2026-06-23,15001,MD,Media Distancia,Área Nordeste,REG.EXP.,Impar (↑ Norte/Origen),79400,Barcelona Estació de França,71400,Reus,10,Barcelona Estació de França > Barcelona-Passeig de Gràcia > Barcelona-Sants > Vilanova i la Geltrú > Sant Vicenç de Calders > Torredembarra > Altafulla-Tamarit > Tarragona > Vila-seca > Reus
2026-06-23,15002,MD,Media Distancia,Área Nordeste,REG.EXP.,Par (↓ Sur/Destino),71400,Reus,79400,Barcelona Estació de França,10,Reus > Vila-seca > Tarragona > Altafulla-Tamarit > Torredembarra > Sant Vicenç de Calders > Vilanova i la Geltrú > Barcelona-Sants > Barcelona-Passeig de Gràcia > Barcelona Estació de França
2026-06-23,15003,MD,Media Distancia,Área Nordeste,REG.EXP.,Impar (↑ Norte/Origen),79400,Barcelona Estació de França,71400,Reus,10,Barcelona Estació de França > Barcelona-Passeig de Gràcia > Barcelona-Sants > Vilanova i la Geltrú > Sant Vicenç de Calders > Torredembarra > Altafulla-Tamarit > Tarragona > Vila-seca > Reus
2026-06-23,15004,MD,Media Distancia,Área Nordeste,REG.EXP.,Par (↓ Sur/Destino),71400,Reus,79400,Barcelona Estació de França,10,Reus > Vila-seca > Tarragona > Altafulla-Tamarit > Torredembarra > Sant Vicenç de Calders > Vilanova i la Geltrú > Barcelona-Sants > Barcelona-Passeig de Gràcia > Barcelona Estació de França
2026-06-23,15005,MD,Media Distancia,Área Nordeste,REG.EXP.,Impar (↑ Norte/Origen),79400,Barcelona Estació de França,71400,Reus,10,Barcelona Estació de França > Barcelona-Passeig de Gràcia > Barcelona-Sants > Vilanova i la Geltrú > Sant Vicenç de Calders > Torredembarra > Altafulla-Tamarit > Tarragona > Vila-seca > Reus
2026-06-23,15006,MD,Media Distancia,Área Nordeste,REG.EXP.,Par (↓ Sur/Destino),71400,Reus,79400,Barcelona Estació de França,10,Reus > Vila-seca > Tarragona > Altafulla-Tamarit > Torredembarra > Sant Vicenç de Calders > Vilanova i la Geltrú > Barcelona-Sants > Barcelona-Passeig de Gràcia > Barcelona Estació de França
2026-06-23,15007,MD,Media Distancia,Área Nordeste,REG.EXP.,Impar (↑ Norte/Origen),79400,Barcelona Estació de França,71400,Reus,10,Barcelona Estació de França > Barcelona-Passeig de Gràcia > Barcelona-Sants > Vilanova i la Geltrú > Sant Vicenç de Calders > Torredembarra > Altafulla-Tamarit > Tarragona > Vila-seca > Reus
2026-06-23,15008,MD,Media Distancia,Área Nordeste,REG.EXP.,Par (↓ Sur/Destino),71400,Reus,79400,Barcelona Estació de França,10,Reus > Vila-seca > Tarragona > Altafulla-Tamarit > Torredembarra > Sant Vicenç de Calders > Vilanova i la Geltrú > Barcelona-Sants > Barcelona-Passeig de Gràcia > Barcelona Estació de França
